+----------------------------+-------------+--------------------------------------+-------------------------------------------------------------------------+
|            Name            |    Rarity   |                 Type                 |                                   Link                                  |
+----------------------------+-------------+--------------------------------------+-------------------------------------------------------------------------+
|     Acid-Spewer Dragon     |   Uncommon  |         Creature—Dragon(3/3)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394485 |
|      Aerie Bowmasters      |    Common   |      Creature—HoundArcher(3/4)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394486 |
|     Ainok Artillerist      |    Common   |      Creature—HoundArcher(4/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394487 |
|     Ainok Survivalist      |   Uncommon  |      Creature—HoundShaman(2/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394488 |
|      Ambuscade Shaman      |   Uncommon  |       Creature—OrcShaman(2/2)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394489 |
| Anafenza, Kin-Tree Spirit  |     Rare    | LegendaryCreature—SpiritSoldier(2/2) | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394490 |
|      Ancestral Statue      |    Common   |     ArtifactCreature—Golem(3/4)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394491 |
|        Ancient Carp        |    Common   |          Creature—Fish(2/5)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394492 |
|         Anticipate         |    Common   |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394493 |
|      Arashin Foremost      |     Rare    |      Creature—HumanWarrior(2/2)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394494 |
|     Arashin Sovereign      |     Rare    |         Creature—Dragon(6/6)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394495 |
|      Artful Maneuver       |    Common   |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394496 |
|     Assault Formation      |     Rare    |             Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394497 |
|    Atarka Beastbreaker     |    Common   |      Creature—HumanWarrior(2/2)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394498 |
|       Atarka Efreet        |    Common   |      Creature—EfreetShaman(5/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394499 |
|      Atarka Monument       |   Uncommon  |               Artifact               | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394500 |
|      Atarka Pummeler       |   Uncommon  |      Creature—OgreWarrior(4/5)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394501 |
|      Atarka's Command      |     Rare    |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394502 |
|   Avatar of the Resolute   |     Rare    |         Creature—Avatar(3/2)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394503 |
|      Aven Sunstriker       |   Uncommon  |      Creature—BirdWarrior(1/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394504 |
|       Aven Tactician       |    Common   |      Creature—BirdSoldier(2/3)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394505 |
|       Battle Mastery       |   Uncommon  |           Enchantment—Aura           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394506 |
|      Belltoll Dragon       |   Uncommon  |         Creature—Dragon(3/3)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394507 |
|   Berserkers' Onslaught    |     Rare    |             Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394508 |
|   Blessed Reincarnation    |     Rare    |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394509 |
|     Blood-Chin Fanatic     |     Rare    |       Creature—OrcWarrior(3/3)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394510 |
|      Blood-Chin Rager      |   Uncommon  |      Creature—HumanWarrior(2/2)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394511 |
|     Boltwing Marauder      |     Rare    |         Creature—Dragon(5/4)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394512 |
|       Butcher's Glee       |    Common   |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394513 |
|        Center Soul         |    Common   |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394514 |
|    Champion of Arashin     |    Common   |      Creature—HoundWarrior(3/2)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394515 |
|      Circle of Elders      |   Uncommon  |      Creature—HumanShaman(2/4)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394516 |
|        Clone Legion        | Mythic Rare |               Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394517 |
|      Coat with Venom       |    Common   |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394518 |
|     Collected Company      |     Rare    |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394519 |
|    Colossodon Yearling     |    Common   |         Creature—Beast(2/4)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394520 |
|     Commune with Lava      |     Rare    |               Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394521 |
|      Conifer Strider       |    Common   |       Creature—Elemental(5/1)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394522 |
