+-------------------------------+-------------+--------+----------------------------------------+-------------------------------------------------------------------------+
|              Name             |    Rarity   | Price  |                  Type                  |                                   Link                                  |
+-------------------------------+-------------+--------+----------------------------------------+-------------------------------------------------------------------------+
|        Abzan Advantage        |    Common   | $ 0.13 |                Instant                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391781 |
|       Abzan Beastmaster       |   Uncommon  | $ 0.18 |      Creature -Hound Shaman(2/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391782 |
|        Abzan Kin-Guard        |   Uncommon  | $ 0.20 |      Creature -Human Warrior(3/3)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391783 |
|         Abzan Runemark        |    Common   | $ 0.13 |           Enchantment -Aura            | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391784 |
|        Abzan Skycaptain       |    Common   | $ 0.14 |      Creature -Bird Soldier(2/2)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391785 |
|          Ainok Guide          |    Common   | $ 0.13 |       Creature -Hound Scout(1/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391786 |
|  Alesha, Who Smiles at Death  |     Rare    | $ 0.44 | Legendary Creature -Human Warrior(3/2) | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391787 |
|       Alesha's Vanguard       |    Common   | $ 0.14 |       Creature -Orc Warrior(3/3)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391788 |
|         Ambush Krotiq         |    Common   | $ 0.14 |         Creature -Insect(5/5)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391789 |
|      Ancestral Vengeance      |    Common   | $ 0.14 |           Enchantment -Aura            | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391790 |
|         Arashin Cleric        |    Common   | $ 0.19 |      Creature -Human Cleric(1/3)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391791 |
|       Arashin War Beast       |   Uncommon  | $ 0.20 |          Creature -Beast(6/6)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391792 |
|            Arcbond            |     Rare    | $ 0.25 |                Instant                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391793 |
|        Archers of Qarsi       |    Common   | $ 0.14 |       Creature -Naga Archer(5/2)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391794 |
|     Archfiend of Depravity    |     Rare    | $ 0.42 |          Creature -Demon(5/4)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391795 |
|      Atarka, World Render     |     Rare    | $ 0.52 |    Legendary Creature -Dragon(6/4)     | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391796 |
|        Aven Skirmisher        |    Common   | $ 0.13 |      Creature -Bird Warrior(1/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391797 |
|         Aven Surveyor         |    Common   | $ 0.14 |       Creature -Bird Scout(2/2)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391798 |
|      Bathe in Dragonfire      |    Common   | $ 0.14 |                Sorcery                 | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391799 |
|         Battle Brawler        |   Uncommon  | $ 0.23 |       Creature -Orc Warrior(2/2)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391800 |
|      Battlefront Krushok      |   Uncommon  | $ 0.20 |          Creature -Beast(3/4)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391801 |
|        Bloodfell Caves        |    Common   | $ 0.15 |                  Land                  | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391802 |
|      Bloodfire Enforcers      |   Uncommon  | $ 0.20 |       Creature -Human Monk(5/2)        | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391803 |
|        Blossoming Sands       |    Common   | $ 0.16 |                  Land                  | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391804 |
|     Break Through the Line    |   Uncommon  | $ 0.19 |              Enchantment               | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391805 |
