+-----------------------------+-------------+---------------------------------------+-------------------------------------------------------------------------+
|             Name            |    Rarity   |                  Type                 |                                   Link                                  |
+-----------------------------+-------------+---------------------------------------+-------------------------------------------------------------------------+
|      Aegis of the Gods      |     Rare    | EnchantmentCreature—HumanSoldier(2/1) | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380364 |
|       Aerial Formation      |    Common   |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380365 |
|       Agent of Erebos       |   Uncommon  |    EnchantmentCreature—Zombie(2/2)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380366 |
|   Ajani, Mentor of Heroes   | Mythic Rare |         Planeswalker—Ajani(4)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380367 |
|       Ajani's Presence      |    Common   |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380368 |
|     Akroan Line Breaker     |   Uncommon  |       Creature—HumanWarrior(2/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380369 |
|        Akroan Mastiff       |    Common   |          Creature—Hound(2/2)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380370 |
|       Armament of Nyx       |    Common   |            Enchantment—Aura           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380371 |
|       Armory of Iroas       |   Uncommon  |           Artifact—Equipment          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380372 |
|       Aspect of Gorgon      |    Common   |            Enchantment—Aura           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380373 |
|   Athreos, God of Passage   | Mythic Rare | LegendaryEnchantmentCreature—God(5/4) | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380374 |
|       Banishing Light       |   Uncommon  |              Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380375 |
|     Bassara Tower Archer    |   Uncommon  |       Creature—HumanArcher(2/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380376 |
|   Battlefield Thaumaturge   |     Rare    |       Creature—HumanWizard(2/1)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380377 |
|    Bearer of the Heavens    |     Rare    |         Creature—Giant(10/10)         | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380378 |
|        Bladetusk Boar       |    Common   |           Creature—Boar(3/2)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380379 |
|        Blinding Flare       |   Uncommon  |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380380 |
|     Bloodcrazed Hoplite     |    Common   |       Creature—HumanSoldier(2/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380381 |
|         Brain Maggot        |   Uncommon  |    EnchantmentCreature—Insect(1/1)    | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380382 |
|      Cast into Darkness     |    Common   |            Enchantment—Aura           | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380383 |
|      Chariot of Victory     |   Uncommon  |           Artifact—Equipment          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380384 |
|        Cloaked Siren        |    Common   |          Creature—Siren(3/2)          | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380385 |
|       Colossal Heroics      |   Uncommon  |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380386 |
|       Consign to Dust       |   Uncommon  |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380387 |
|         Countermand         |    Common   |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380388 |
|        Cruel Feeding        |    Common   |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380389 |
|     Crystalline Nautilus    |   Uncommon  |   EnchantmentCreature—Nautilus(4/4)   | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380390 |
|   Cyclops of Eternal Fury   |   Uncommon  |    EnchantmentCreature—Cyclops(5/3)   | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380391 |
|         Dakra Mystic        |   Uncommon  |      Creature—MerfolkWizard(1/1)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380392 |
|         Daring Thief        |     Rare    |        Creature—HumanRogue(2/3)       | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380393 |
|   Dawnbringer Charioteers   |     Rare    |       Creature—HumanSoldier(2/4)      | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380394 |
|           Deicide           |     Rare    |                Instant                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380395 |
|      Desecration Plague     |    Common   |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380396 |
|     Deserter's Quarters     |   Uncommon  |                Artifact               | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380397 |
|       Desperate Stand       |   Uncommon  |                Sorcery                | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380398 |
|      Dictate of Erebos      |     Rare    |              Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380399 |
|      Dictate of Heliod      |     Rare    |              Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380400 |
|     Dictate of Karametra    |     Rare    |              Enchantment              | http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380401 |
